Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.027467,-0.076798,0.018551,0,0,0,0.20217,0.00013508,4.4049E-09,-5.1886E-08,6.1532E-05,-1.5699E-08,0.00016846,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/base_link.STL,,base_link^biped_bike_robot_print-1,world_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_yaw,-0.014647,6.7734E-10,-0.01155,0,0,0,0.027291,4.6401E-06,1.4965E-12,-2.8344E-07,3.6999E-05,1.3108E-14,3.6652E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_hip_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_hip_yaw.STL,,L_hip_yaw^biped_bike_robot_print-1,l_hip_yaw_frame,l_hip_yaw_axis,l_hip_yaw,revolute,-0.01525,-0.01425,0.0026,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
l_hip_roll,-0.01217,-0.00018948,0.046417,0,0,0,0.11708,2.0097E-05,-2.5141E-07,2.5107E-07,2.6451E-05,-1.0511E-08,3.2945E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_hip_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_hip_roll.STL,,L_hip_roll^biped_bike_robot_print-1,l_hip_roll_frame,l_hip_roll_axis,l_hip_roll,revolute,-0.0614,0,-0.0356,0,-1.5708,0,l_hip_yaw,0,0,-1,0,0,0,0,,,,,,,,
l_hip_pitch,-3.9552E-15,0.0295,-0.0209,0,0,0,0.016365,1.2215E-05,3.2958E-23,-1.8499E-20,9.3246E-06,-3.8495E-21,4.1327E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_hip_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_hip_pitch.STL,,L_hip_pitch^biped_bike_robot_print-1,l_hip_pitch_frame,l_hip_pitch_axis,l_hip_pitch,revolute,-0.024,-0.0209,0.0614,1.5708,-1.5708,0,l_hip_roll,0,0,1,0,0,0,0,,,,,,,,
l_knee_pitch,0.020267,0.018916,-0.020589,0,0,0,0.14474,5.3362E-05,2.1297E-06,-2.4176E-13,3.7532E-05,1.5663E-12,3.6388E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_knee_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_knee_pitch.STL,,L_knee_pitch^biped_bike_robot_print-1,l_knee_pitch_frame,l_knee_pitch_axis,l_knee_pitch,revolute,0,0.059,0,0,0,0,l_hip_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_ankle_pitch,-0.014991,0.011589,-0.020713,0,0,0,0.11708,3.2945E-05,-2.5109E-07,-2.0537E-11,2.0097E-05,2.6018E-07,2.6451E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_ankle_pitch.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_ankle_pitch.STL,,L_ankle_pitch^biped_bike_robot_print-1,l_ankle_pitch_frame,l_ankle_pitch_axis,l_ankle_pitch,revolute,0,0.08775,0,0,0,0,l_knee_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_foot_roll,-0.051554,-2.0817E-16,0.061016,0,0,0,0.073461,0.00014716,3.6906E-20,5.6269E-06,0.00013683,-2.9536E-19,3.4695E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_foot_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_foot_roll.STL,,L_foot_roll^biped_bike_robot_print-1,l_foot_roll_frame,l_foot_roll_axis,l_foot_roll,revolute,-0.0614,0,-0.0209,-1.5708,0,-1.5708,l_ankle_pitch,0,0,-1,0,0,0,0,,,,,,,,
l_knee_pitch_wheel,9.0919E-13,-3.7224E-13,0.0055204,0,0,0,0.012433,3.5443E-06,3.7636E-12,-1.6E-17,3.5443E-06,6.6047E-18,6.6204E-06,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_knee_pitch_wheel.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/l_knee_pitch_wheel.STL,,L_knee_wheel^biped_bike_robot_print-1,l_knee_pitch_wheel_frame,l_knee_pitch_wheel_axis,l_knee_pitch_wheel,continuous,0.047,0.024,0,0,0,0,l_knee_pitch,0,0,-1,,,,,,,,,,,,
r_hip_yaw,-0.014647,6.7734E-10,-0.01155,0,0,0,0.027291,4.6401E-06,1.4965E-12,-2.8344E-07,3.6999E-05,1.3108E-14,3.6652E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_hip_yaw.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_hip_yaw.STL,,R_hip_yaw^biped_bike_robot_print-1,r_hip_yaw_frame,r_hip_yaw_axis,r_hip_yaw,revolute,-0.01525,-0.13925,0.0026,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
r_hip_roll,-0.01217,-0.00018948,0.046417,0,0,0,0.11708,2.0097E-05,-2.5141E-07,2.5107E-07,2.6451E-05,-1.0511E-08,3.2945E-05,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_hip_roll.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://biped_bike_robot_ver3/meshes/r_hip_roll.STL,,R_hip_roll^biped_bike_robot_print-1,r_hip_roll_frame,r_hip_roll_axis,r_hip_roll,revolute,-0.0614,0,-0.0356,0,-1.5708,0,r_hip_yaw,0,0,-1,0,0,0,0,,,,,,,,
